system,commit_id,class_name,measure,metric_name,before_or_after_commit,value
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchPage,cohesion,LCOM,after,0.4
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchPage,cohesion,C3,before,0.2145091740682994
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchPage,cohesion,C3,after,0.46986913685350595
alexa-menu,7469b1fc14897c1bea363a5802a777564e407a0d,AlexaMenuSpeechlet,cohesion,LCOM,before,0.75
alexa-menu,7469b1fc14897c1bea363a5802a777564e407a0d,AlexaMenuSpeechlet,cohesion,LCOM,after,0.5
alexa-menu,7469b1fc14897c1bea363a5802a777564e407a0d,AlexaMenuSpeechlet,cohesion,C3,before,0.2776291627106582
alexa-menu,7469b1fc14897c1bea363a5802a777564e407a0d,AlexaMenuSpeechlet,cohesion,C3,after,0.26716280316280816
battleship,7486a0fd3ec134dc8aa640ea6129628e48b942f7,Player,cohesion,LCOM,before,0.8866666666666667
battleship,7486a0fd3ec134dc8aa640ea6129628e48b942f7,Player,cohesion,LCOM,after,0.8888888888888888
battleship,7486a0fd3ec134dc8aa640ea6129628e48b942f7,Player,cohesion,C3,before,0.09130911292831184
battleship,7486a0fd3ec134dc8aa640ea6129628e48b942f7,Player,cohesion,C3,after,0.08743633137061961
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,BookMaker,cohesion,LCOM,before,0.8888888888888888
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,BookMaker,cohesion,LCOM,after,0.2142857142857143
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,BookMaker,cohesion,C3,before,0.2984685738690419
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,BookMaker,cohesion,C3,after,0.45204058218591214
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,WordReplacer,cohesion,LCOM,before,0.8131487889273357
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,WordReplacer,cohesion,LCOM,after,0.8131487889273357
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,WordReplacer,cohesion,C3,before,0.3000645241122348
Star-In-A-Book,75ee40d7333910457ad44becf651cd7736441610,WordReplacer,cohesion,C3,after,0.3000645241122348
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinGui,cohesion,LCOM,before,0.8819444444444444
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinGui,cohesion,LCOM,after,0.8819444444444444
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinGui,cohesion,C3,before,0.07233372063744753
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinGui,cohesion,C3,after,0.07070678150664787
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletin,cohesion,LCOM,before,0.85
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletin,cohesion,LCOM,after,0.8125
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletin,cohesion,C3,before,0.13762458359893684
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletin,cohesion,C3,after,0.13762458359893684
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinConfiguration,cohesion,LCOM,before,0.8333333333333334
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinConfiguration,cohesion,LCOM,after,0.7962962962962963
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinConfiguration,cohesion,C3,before,0.19100763735633255
EarthquakeBulletin,76984bc6487345cf5351d59a3258add933f1b369,EarthquakeBulletinConfiguration,cohesion,C3,after,0.21386328252694808
